from_vertex_id;to_vertex_id;one_way;weight;geom
3611;3609;FT;23.936897;LINESTRING(37.634392 55.746727,37.634447 55.746794,37.634554 55.746922)
13562;13563;FT;47.240069;LINESTRING(37.629441 55.748651,37.629076 55.748685,37.628694 55.748710)
23880;23882;FT;28.177118;LINESTRING(37.610892 55.773980,37.610956 55.774009,37.611223 55.774152)
8607;8605;FT;41.034044;LINESTRING(37.612597 55.736757,37.612884 55.736738,37.613251 55.736730)
11517;11515;FT;44.820831;LINESTRING(37.667200 55.753947,37.667343 55.754142,37.667497 55.754313)
12687;12688;FT;55.291601;LINESTRING(37.651849 55.747396,37.652099 55.747368,37.652713 55.747294)
2254;2255;FT;16.001413;LINESTRING(37.638611 55.731533,37.638723 55.731574,37.638818 55.731617)
15803;15801;FT;5.714869;LINESTRING(37.598354 55.753071,37.598351 55.753099,37.598347 55.753122)
15586;15588;FT;3.208140;LINESTRING(37.602886 55.748618,37.602869 55.748626,37.602845 55.748635)
19162;19164;FT;35.893557;LINESTRING(37.677221 55.733040,37.677192 55.733074,37.676971 55.733331)
19162;21292;FT;65.413155;LINESTRING(37.677221 55.733040,37.677192 55.733074,37.678088 55.733294)
17487;17488;FT;42.734529;LINESTRING(37.579034 55.773454,37.579309 55.773274,37.579479 55.773163)
9330;9332;FT;27.364059;LINESTRING(37.577188 55.733348,37.577368 55.733441,37.577508 55.733515)
4749;4751;FT;3.688915;LINESTRING(37.625397 55.731988,37.625396 55.732002,37.625399 55.732021)
10240;10242;FT;31.541260;LINESTRING(37.674980 55.766038,37.675015 55.765767,37.675016 55.765755)
3515;3516;FT;12.635925;LINESTRING(37.666163 55.748326,37.666054 55.748312,37.665964 55.748309)
10998;10999;FT;6.175374;LINESTRING(37.595843 55.761689,37.595857 55.761668,37.595879 55.761637)
1709;1710;FT;26.602499;LINESTRING(37.587129 55.749561,37.586874 55.749476,37.586762 55.749440)
4359;4357;FT;36.386954;LINESTRING(37.672109 55.756857,37.672139 55.756859,37.672678 55.756926)
9692;9694;FT;159.550669;LINESTRING(37.685421 55.732809,37.685433 55.732577,37.685630 55.731380)
13292;13294;FT;27.966461;LINESTRING(37.601246 55.743481,37.601122 55.743366,37.601018 55.743265)
22082;22084;FT;32.654564;LINESTRING(37.574378 55.766526,37.574300 55.766349,37.574252 55.766241)
692;693;FT;8.820133;LINESTRING(37.625194 55.771430,37.625203 55.771396,37.625214 55.771351)
816;818;FT;19.253916;LINESTRING(37.631187 55.770743,37.630982 55.770743,37.630879 55.770740)
7704;7702;FT;2.215454;LINESTRING(37.626629 55.740201,37.626614 55.740208,37.626606 55.740215)
10902;10903;FT;1.336174;LINESTRING(37.665656 55.750276,37.665669 55.750280,37.665675 55.750282)
